date,temp_mean,temp_min,temp_max,precip_sum,humidity_mean,wind_speed_mean,concentration
2019-04-14,1.9708333333333332,1.0,3.5,8.4,72.41666666666667,18.183333333333334,0.0
2019-04-15,4.245833333333334,-0.2,11.4,2.6,57.875,16.349999999999998,0.0
2019-04-16,5.8125,-1.9,13.0,0.0,56.75,14.883333333333333,0.0
2019-04-17,5.666666666666667,1.7,10.2,0.0,53.083333333333336,10.5375,2.0
2019-04-18,5.466666666666666,-0.9,10.7,0.3,55.708333333333336,9.466666666666667,0.0
2019-04-19,5.595833333333334,-0.4,11.1,0.0,55.208333333333336,8.554166666666667,3.0
2019-04-20,6.629166666666666,-0.7,12.4,0.0,61.375,6.970833333333334,6.0
2019-04-21,8.808333333333334,1.3,16.1,0.0,59.291666666666664,6.45,9.0
2019-04-22,10.079166666666667,2.2,17.7,0.0,55.375,7.125,90.0
2019-04-23,10.979166666666666,4.3,17.8,0.0,57.083333333333336,13.579166666666666,1049.0
2019-04-24,13.470833333333333,5.9,21.6,0.0,54.583333333333336,11.704166666666666,1875.0
2019-04-25,14.429166666666667,5.9,22.8,0.0,55.708333333333336,9.270833333333334,5445.0
2019-04-26,14.979166666666666,7.7,21.4,0.0,50.416666666666664,5.7124999999999995,5640.0
2019-04-27,16.245833333333334,9.6,22.7,0.0,50.916666666666664,9.85,4720.0
2019-04-28,8.695833333333333,3.4,11.6,0.2,53.416666666666664,19.037499999999998,3800.0
2019-04-29,4.970833333333333,-0.9,9.6,0.0,47.75,7.591666666666666,394.0
2019-04-30,6.779166666666666,-0.5,12.0,0.0,45.875,5.7375,415.6666666666667
2019-05-01,8.945833333333335,0.8,16.2,0.0,45.333333333333336,12.375,437.3333333333333
2019-05-02,7.979166666666667,5.3,10.7,3.6,70.08333333333333,15.3125,459.0
2019-05-03,11.758333333333333,7.6,16.1,0.2,54.833333333333336,23.516666666666666,458.3333333333333
2019-05-04,9.695833333333333,4.3,14.4,0.0,55.25,9.65,457.6666666666667
2019-05-05,12.7125,3.8,22.0,0.8999999999999999,72.5,14.808333333333332,457.0
2019-05-06,17.891666666666666,11.4,23.4,0.0,57.583333333333336,9.766666666666667,227.0
2019-05-07,17.991666666666667,10.4,24.5,0.0,52.75,9.7875,183.0
2019-05-08,17.1125,12.4,22.2,6.0,67.66666666666667,10.049999999999999,104.0
2019-05-09,16.325,8.3,25.4,3.5,76.70833333333333,12.754166666666668,25.0
2019-05-10,19.474999999999998,14.8,24.5,2.9000000000000004,70.33333333333333,11.554166666666667,17.5
2019-05-11,18.304166666666667,13.3,21.0,0.2,56.625,21.912499999999998,10.0
2019-05-12,16.175,8.8,21.2,0.1,65.08333333333333,4.479166666666667,5.0
2019-05-13,16.695833333333333,13.6,20.9,0.9,73.41666666666667,12.545833333333334,44.0
2019-05-14,16.441666666666666,12.0,21.2,0.0,76.125,14.604166666666666,58.0
2019-05-15,17.325,12.9,21.8,2.1,70.625,15.920833333333334,190.0
2019-05-16,13.608333333333334,9.5,18.0,0.5,52.083333333333336,18.099999999999998,185.0
2019-05-17,12.424999999999999,4.6,18.2,0.0,48.125,7.325,156.66666666666666
2019-05-18,14.954166666666666,6.9,20.8,0.0,49.791666666666664,11.791666666666666,128.33333333333334
2019-05-19,15.341666666666667,9.5,21.0,0.0,48.375,16.541666666666668,100.0
2019-05-20,14.845833333333333,6.6,22.3,0.0,47.333333333333336,7.995833333333334,25.0
2019-05-21,18.183333333333334,8.1,25.2,0.5,45.583333333333336,10.291666666666666,10.0
2019-05-22,20.983333333333334,14.1,25.5,0.0,40.458333333333336,12.120833333333332,11.0
2019-05-23,18.2625,12.7,24.2,2.6,66.625,14.033333333333333,8.333333333333334
2019-05-24,13.4375,9.1,17.6,0.0,56.833333333333336,13.316666666666668,5.666666666666667
2019-05-25,15.575000000000001,11.2,21.5,1.0,58.625,16.533333333333335,3.0
2019-05-26,17.941666666666666,13.5,22.6,1.9,67.20833333333333,10.5375,3.0
2019-05-27,16.5625,11.7,21.1,0.30000000000000004,54.916666666666664,19.529166666666665,2.993710691823899
2019-05-28,21.745833333333334,14.9,27.4,0.0,52.291666666666664,15.941666666666668,2.9874213836477987
2019-05-29,24.0625,18.1,28.7,0.0,49.625,19.116666666666667,2.981132075471698
2019-05-30,22.141666666666666,16.7,29.1,5.2,60.916666666666664,17.054166666666667,2.9748427672955975
2019-05-31,18.6125,14.0,23.8,7.199999999999999,77.29166666666667,8.945833333333333,2.9685534591194966
2019-06-01,18.091666666666665,13.3,22.0,0.0,59.791666666666664,13.133333333333333,2.9622641509433962
2019-06-02,18.758333333333333,10.1,25.0,0.2,59.375,14.1625,2.9559748427672954
